neuron_idx,source_sae,interpretation,top_example_1,top_example_2,top_example_3,top_example_4,top_example_5,top_example_6,top_example_7,top_example_8,top_example_9,top_example_10
424,"(512, 4)",Contains references to light or brightness,BRIGHTNESS,LUMINO,LUMINA,LIGHTBULB,LIGHT,BRIGHT,LUMIERE,LUX,LEDLUM,LUMOS
427,"(512, 4)",Contains traditional or old-fashioned female names,BROOMHILDA,DOROTHEA,MARGARET,MILDRED,WINIFRED,BERTHA,ELEANOR,MATHILDA,SYLVIA,GWENDOLINE
430,"(512, 4)",Last names of famous poets or writers,TENNYSON,WORDSWORTH,WHITMAN,LONGFELLOW,RIMBAUD,BUKOWSKI,PUSHKIN,BYSSHE,FLAUBERT,KIPLING
434,"(512, 4)","contains words related to bravery or courage, often in different languages",COURAGE,BRAVERY,CORRAGIO,CORAGGIO,BRAVE,CORAJE,VALIENTE,DAUNTLESS,TENACIA,GUTSY
435,"(512, 4)",related to hair or haircare,PANTENE,HAIRRO,CABELO,LOREIAL,LASHES,SHAMPOO/TAYLOR,PERIWIG,CAPPELLI,BLONDE,CAPILLO
439,"(512, 4)",mentions dogs or related terms,K9,K-9,PUPPY,PUPPIES,CACHORRO,BARKY,PERRO,PERRITA,BULLDOG,BARK
441,"(512, 4)",Names of Arabic or Islamic origin,HUSSAIN,MOHAMED,MAHMOOD,HAMZA,FARZANA,AHMED,GHAITH,HANAFI,HABIBA,IMRAN
442,"(512, 4)",Contains names of superheroes or comic book characters,BATMAN,SPIDER-MAN,SPIDERMAN,MARVEL,SPIDEY,HULK,HAWKEYE,IKARIS,KAL-EL,WOLVERINE
446,"(512, 4)",The words are abstract concepts or virtues.,HAPPINESS,INNOCENCE,FREEDOM,SERENITY,WISDOM,JOY,FAITH,GIOIA,GLORY,DESTINY
448,"(512, 4)",mentions days of the week or months,WEDNESDAY,TUESDAY,THURSDAY,WENESDAY,MONDAY,SUNDAY,FRIDAY,SEPTEMBER,DECEMBER,SATURDAY
454,"(512, 4)",Contains Dutch-origin words or names,DUTCHIEMAMA,LEEUWEN,MISSIE,HOLLAND,SCHATJE,WILLEM,JANSJE,VLINDER,DUTCHIE,BREUKELEN
459,"(512, 4)",mentions types of food or dishes,QUESADILLA,CASSEROLE,SHISHKABOB,OMELETTE,HUMMUS,POTSTICKER,QUICHE,VEGGIEBURGER,QUICHE-LORRAINE,FALAFEL
461,"(512, 4)",Contains words related to Australia or Australian slang,AUSTRALIAN,AUSTRALIA,SYDNEY,AUSSIE,AUSIE,MELBOURNE,OZZEY,BRISBANE,TASSIE,SYDENY
463,"(512, 4)",Contains Italian-sounding names or words,BATUFFOLO,CORAGGIO,PISELLINO,ITALIA,SICILIANO,GIACCONINO,LABOCCETTA,BIAGGIO,BIANCO,FATTORUSSO
464,"(512, 4)",mentions types of wood or trees,REDWOOD,SYCAMORE,MAHOGANY,WOOD,ROSEWOOD,SPRUCE,PINE,FOREST,WALNUT,WOODLANDS
466,"(512, 4)",mentions weather-related phenomena,THUNDERSTORM,HURRICANE,STORMAGEDDON,TORNADO,STORM,CYCLONE,STORMII,STORMY,TEMPEST,HURRIKANE
467,"(512, 4)","Contains names that are traditionally masculine and British-sounding, often featuring formal or old-fashioned elements like 'Fred', 'Alfred', or 'Archibald'.",ARCHIBALD,ARCHIEBALD,FREDERICK,FREDRICK,ALFRED,HERBERT,EGBERT,FREDDIE-ALFRED,FREDWARD,REGINALD
473,"(512, 4)","Contains words related to love or affection, often in different languages or stylized forms.",LOVEE,AMORE,LIEBE,LOVER,KISSES,LUV,LOVE,SWEETHEART,LOVEY,ADORE
474,"(512, 4)",relates to sudden or energetic movement or force,BOUNCE,JOLT,POUNCE,REBOUND,PEAK,LEAP,WAVE,PITCH,JUMPING,SPIKE
476,"(512, 4)",mentions car brands,PORSCHE,MASERATI,MAZDA,PORSHE,CHRYSLER,HONDA,MERCEDES,FERRARI,TOYOTA,LEXUS
480,"(512, 4)","words related to stories, myths, or folklore",MYTH,RUMOR,RUMOUR,MYTHO,FABLE,STORY,LORE,LEGEND,THEORY,TRUTH
484,"(512, 4)",Contains names associated with ancient Egyptian royalty or figures,NEFFERTITI,NEFERTITI,KNEFERTITI,NEFERTITA,PHARAOH,CLEOPATRO,PHARAON,RAMSES,CLEOPATRA,PHAROAH
491,"(512, 4)",Contains names or terms commonly associated with anime or manga characters,NARUTO,GAARA,GOKU,LUFFY,BLEACH,ANBU,VEGETA,GOHAN,KYUUBI,TIDUS
494,"(512, 4)",refers to a type of building or architectural structure,BUNGALOW,COTTAGE,PORCH,MANSARD,MEZZANINE,VILLA,BUNKIE,MAISON,BUNKER,KASBAH
495,"(512, 4)","Mentions names of cities, towns, states, or regions in the United States",TENNESSEE,DECATUR,LEXINGTON,TENNESEE,KENTUCKY,NATCHEZ,VINCENNES,MARIETTA,ARLINGTON,AUGUSTA
497,"(512, 4)",mentions luxury fashion brands,BURBERRY,VERSACE,CHANEL,PRADA,GIVENCHY,ARMANI,MOSCHINO,BALENCIAGA,GUCCI,FENDI
499,"(512, 4)",Contains a variation or misspelling of the word 'UNKNOWN',UNKNOWNN,UNKNWON,UNKKNOWN,UNKOWN,UMKNOWN,UNKWOWN,UNKNOWED,UNKMOWN,UKNOWN,UNKNONW
500,"(512, 4)",represents absence or nothingness,NOTHING,ZERRO,BUPKIS,NULA,NONE,ZERO,BLANK,RIEN,GONE,PLEASE DELETE
502,"(512, 4)",mentions names of famous filmmakers or movies,KUBRICK,TARANTINO,HITCHCOCK,MOVIE,TRUFFAUT,BULLITT,PACINO,HOLLYWOOD,DICAPRIO,SCARFACE
503,"(512, 4)",mentions gemstones or precious stones,TOPAZ,SAPPHIRE,ZAFIRO,SAPHIRE,DIAMOND,GARNET,AMETHYST,JEWELS,BRYLANT,CITRINE
510,"(512, 4)",Contains Greek-sounding names or surnames,PANAGIOTOU,LIKOURENTZOS,BOUZALAS,KONSTANTINIDIS,VASSILIOU,STYLIANOU,ANDRIANOS,KOUKLA,GABRIELIDIS,DOUKAKIS
